 ,time,force,units, ,x ,y ,z, 
b',13750,6.568,lbs,\r\n'b',3441,3291,986,\r\n'
b',13838,6.769,lbs,\r\n'b',3454,3250,1062,\r\n'
b',13926,6.602,lbs,\r\n'b',3460,3296,1046,\r\n'
b',14014,6.607,lbs,\r\n'b',3476,3292,1039,\r\n'
b',14102,6.65,lbs,\r\n'b',3475,3268,1010,\r\n'
b',14190,6.552,lbs,\r\n'b',3442,3284,997,\r\n'
b',14278,6.596,lbs,\r\n'b',3468,3257,1112,\r\n'
b',14366,6.731,lbs,\r\n'b',3459,3275,1042,\r\n'
b',14454,6.751,lbs,\r\n'b',3519,2248,-153,\r\n'
b',14542,6.794,lbs,\r\n'b',3474,3269,1055,\r\n'
b',14630,6.795,lbs,\r\n'b',3474,3246,1007,\r\n'
b',14718,6.827,lbs,\r\n'b',3441,3206,1012,\r\n'
b',14806,6.858,lbs,\r\n'b',3488,3236,1046,\r\n'
b',14894,6.939,lbs,\r\n'b',3434,3241,1010,\r\n'
b',14982,6.96,lbs,\r\n'b',3416,3231,943,\r\n'
b',15070,6.966,lbs,\r\n'b',3471,3227,1020,\r\n'
b',15158,6.97,lbs,\r\n'b',3482,3235,1017,\r\n'
b',15246,6.933,lbs,\r\n'b',3484,3250,1026,\r\n'
b',15334,6.884,lbs,\r\n'b',3455,3223,1049,\r\n'
b',15422,6.871,lbs,\r\n'b',3506,3237,1093,\r\n'
b',15510,6.782,lbs,\r\n'b',3481,3223,1063,\r\n'
b',15598,6.714,lbs,\r\n'b',3486,3231,1024,\r\n'
b',15686,6.697,lbs,\r\n'b',3509,3214,1035,\r\n'
b',15774,6.693,lbs,\r\n'b',3497,3241,984,\r\n'
b',15862,6.728,lbs,\r\n'b',3467,3263,894,\r\n'
b',15950,6.768,lbs,\r\n'b',3488,3248,1027,\r\n'
b',16038,6.862,lbs,\r\n'b',3512,3289,1060,\r\n'
b',16126,6.923,lbs,\r\n'b',3510,3233,1033,\r\n'
b',16214,7.035,lbs,\r\n'b',3477,3222,972,\r\n'
b',16302,7.199,lbs,\r\n'b',3487,3241,946,\r\n'
b',16390,7.278,lbs,\r\n'b',3509,3230,992,\r\n'
b',16478,7.416,lbs,\r\n'b',3457,3254,954,\r\n'
b',16566,7.653,lbs,\r\n'b',3464,3254,1031,\r\n'
b',16654,7.94,lbs,\r\n'b',3453,3219,1017,\r\n'
b',16742,7.795,lbs,\r\n'b',3431,3201,856,\r\n'
b',16830,7.73,lbs,\r\n'b',3436,3254,967,\r\n'
b',16918,7.744,lbs,\r\n'b',3473,3209,961,\r\n'
b',17006,7.706,lbs,\r\n'b',3458,3219,1005,\r\n'
b',17094,7.865,lbs,\r\n'b',3469,3252,1002,\r\n'
b',17182,7.905,lbs,\r\n'b',3493,3246,1073,\r\n'
b',17270,7.992,lbs,\r\n'b',3483,3239,1027,\r\n'
b',17358,8.012,lbs,\r\n'b',3493,3242,1045,\r\n'
b',17446,7.985,lbs,\r\n'b',3477,3254,1020,\r\n'
b',17534,8.02,lbs,\r\n'b',3515,2327,-134,\r\n'
b',17622,7.92,lbs,\r\n'b',3413,3212,919,\r\n'
b',17710,7.897,lbs,\r\n'b',3480,3217,1072,\r\n'
b',17798,7.847,lbs,\r\n'b',3477,3246,1034,\r\n'
b',17886,7.769,lbs,\r\n'b',3518,3244,1100,\r\n'
b',17974,8.029,lbs,\r\n'b',3477,3203,1022,\r\n'
b',18062,8.027,lbs,\r\n'b',3486,3247,1005,\r\n'
b',18150,8.09,lbs,\r\n'b',3501,3223,1081,\r\n'
b',18238,8.072,lbs,\r\n'b',3478,3218,1033,\r\n'
b',18326,8.118,lbs,\r\n'b',3472,3231,1044,\r\n'
b',18414,8.046,lbs,\r\n'b',3446,3222,994,\r\n'
b',18502,7.947,lbs,\r\n'b',3532,3244,1121,\r\n'
b',18590,7.877,lbs,\r\n'b',3482,3196,983,\r\n'
b',18678,7.83,lbs,\r\n'b',3517,3237,1118,\r\n'
b',18766,7.85,lbs,\r\n'b',3496,3208,1057,\r\n'
