Index,Time,Difference,Hz,AveHz,Pressure,Acceleration-X,Acceleration-Y,Acceleration-Z,Magnetic-X,Magnetic-Y,Magnetic-Z,Angular-Vel-X,Angular-Vel-Y,Angular-Vel-Z,Heading,Roll,Pitch,Quaternion-X,Quaternion-Y,Quaternion-Z,Quaternion-W,Linear-Acceleration-X,Linear-Acceleration-Y,Linear-Acceleration-Z,Gravity-X,Gravity-Y,Gravity-Z,Position-X,Position-Y,Position-Z
42,2.7845160961151123,0.06712055206298828,14.898566374447649,15.083410743646754,2.468670724224382e-38,-121.0,963.0,-148.0,31.0625,26.75,1.375,7.0,-3.875,-0.1875,270.625,-7.8125,-98.375,0.45947265625,0.6009521484375,0.45977783203125,0.465087890625,11.0,2.0,-6.0,-133.0,961.0,-141.0,345,2356,1689,
43,2.855100631713867,0.07058453559875488,14.167409213890757,15.060765117125785,2.468670724224382e-38,-112.0,967.0,-132.0,31.75,26.0,1.75,3.0,-1.4375,-0.25,270.8125,-7.8125,-98.625,0.461669921875,0.601318359375,0.4576416015625,0.464599609375,21.0,6.0,14.0,-133.0,960.0,-146.0,338,2331,1721,
44,2.9242570400238037,0.06915640830993652,14.459975936262122,15.046556919511369,2.468670724224382e-38,-119.0,970.0,-147.0,30.6875,27.5,0.875,1.125,0.75,-2.6875,270.875,-7.8125,-98.75,0.46185302734375,0.6019287109375,0.4571533203125,0.46417236328125,14.0,10.0,1.0,-133.0,960.0,-148.0,293,2372,1544,
45,2.998661756515503,0.07440471649169922,13.440008203130008,15.006694203580594,2.468670724224382e-38,-114.0,966.0,-127.0,30.25,27.1875,0.875,1.1875,2.875,-1.4375,270.75,-7.875,-98.8125,0.46099853515625,0.6029052734375,0.457275390625,0.46356201171875,20.0,7.0,21.0,-134.0,959.0,-149.0,359,2101,2210,
46,3.066267728805542,0.06760597229003906,14.791592608266328,15.001951580372664,2.468670724224382e-38,-106.0,966.0,-141.0,31.0625,26.375,0.875,2.3125,5.5,-1.3125,270.4375,-7.8125,-98.9375,0.46026611328125,0.6043701171875,0.45794677734375,0.4617919921875,27.0,7.0,9.0,-133.0,959.0,-151.0,253,2399,1322,
47,3.133331537246704,0.06706380844116211,14.911172258839757,15.000008598291984,2.467881512929274e-38,-121.0,944.0,-138.0,29.875,26.75,1.375,2.625,1.5,1.9375,270.125,-7.75,-99.0625,0.4599609375,0.60540771484375,0.45867919921875,0.4599609375,10.0,-15.0,14.0,-132.0,959.0,-153.0,289,2382,1519,
48,3.209507465362549,0.07617592811584473,13.127506611790112,14.955565773883588,2.467881512929274e-38,-77.0,982.0,-177.0,28.75,26.0,1.375,5.375,3.5625,4.8125,269.75,-7.375,-99.4375,0.46282958984375,0.60601806640625,0.458251953125,0.4566650390625,48.0,17.0,-9.0,-125.0,959.0,-160.0,290,2378,1556,
49,3.279937267303467,0.07042980194091797,14.198534887814654,14.939310116831699,2.467881512929274e-38,-52.0,972.0,-175.0,30.6875,25.375,2.25,4.6875,6.75,4.3125,268.5625,-6.6875,-99.8125,0.46551513671875,0.60687255859375,0.4610595703125,0.44989013671875,65.0,13.0,-17.0,-114.0,959.0,-166.0,303,2374,1617,
50,3.3494720458984375,0.0695347785949707,14.381292645294018,14.927725717617795,2.467881512929274e-38,-63.0,958.0,-188.0,30.25,26.0,0.875,3.4375,10.6875,0.75,267.3125,-6.0625,-100.25,0.4666748046875,0.609130859375,0.46380615234375,0.44281005859375,39.0,2.0,-17.0,-104.0,959.0,-174.0,325,2357,1682,
51,3.4179577827453613,0.06848573684692383,14.60158050478677,14.921190734847503,2.467881512929274e-38,-41.0,970.0,-181.0,31.375,26.75,2.6875,0.9375,10.4375,-0.75,266.3125,-5.75,-100.5,0.4661865234375,0.611328125,0.46636962890625,0.43756103515625,56.0,11.0,-3.0,-98.0,959.0,-178.0,344,2361,1727,
