Index,Time,Difference,Hz,AveHz,0x6104 Angular-Vel-X,0x6104 Angular-Vel-Y,0x6104 Angular-Vel-Z,0x6104 Range,0x6104 Smoothed Range,0x6104 Velocity,
863,43.83687901496887,0.04699563980102539,21.278569761660766,19.686620475543286,0.5,0.0625,-0.5625,137,137.0,702.1928021348052,
864,43.886873960494995,0.04999494552612305,20.002021993953093,19.68697977390083,0.5625,-0.0625,-0.3125,128,128.0,-180.01819794557784,
865,43.934869050979614,0.04799509048461914,20.835464417354675,19.688234395243136,0.75,0.0625,-0.5,151,151.0,479.2156815991575,
866,43.98686385154724,0.05199480056762695,19.232692290056033,19.687695920370516,0.8125,0.6875,-0.8125,170,170.0,365.42115351106463,
867,44.03885865211487,0.05199480056762695,19.232692290056033,19.687158717006493,0.875,1.1875,-0.5625,193,193.0,442.3519226712888,
868,44.08685374259949,0.04799509048461914,20.835464417354675,19.68840881837036,0.6875,1.375,-0.8125,203,203.0,208.35464417354675,
869,44.134849071502686,0.04799532890319824,20.835360916411254,19.689656094487525,0.5,1.25,-0.875,231,231.0,583.390105659515,
870,44.18184423446655,0.04699516296386719,21.278785665002637,19.69134641331489,0.8125,1.25,-0.8125,212,212.0,-404.2969276350501,
871,44.22983932495117,0.04799509048461914,20.835464417354675,19.69258792917764,0.875,1.5625,-0.8125,259,259.0,979.2668276156696,
872,44.27383518218994,0.04399585723876953,22.729412784774457,19.69560568700811,1.0,1.9375,-0.8125,311,311.0,1181.9294648082716,
873,44.318830728530884,0.04499554634094238,22.224421777718902,19.698173116241392,1.0,2.125,-1.0,297,297.0,-311.14190488806463,
874,44.36882567405701,0.04999494552612305,20.002021993953093,19.698515494202915,0.875,2.0,-0.6875,306,306.0,180.01819794557784,
875,44.416820764541626,0.04799509048461914,20.835464417354675,19.699744037027543,0.875,1.875,-0.75,372,372.0,1375.1406515454084,
876,44.46381592750549,0.04699516296386719,21.278785665002637,19.701412974276526,0.875,2.1875,-0.8125,372,372.0,0.0,
877,44.522810220718384,0.058994293212890625,16.95079211121888,19.697768304658677,0.625,2.375,-0.875,386,386.0,237.31108955706435,
878,44.567805767059326,0.04499554634094238,22.224421777718902,19.70031920774843,0.875,2.6875,-0.6875,386,386.0,0.0,
879,44.6168007850647,0.048995018005371094,20.410238442822383,19.701098790889596,0.75,2.5625,-0.5,414,414.0,571.4866763990268,
880,44.664795875549316,0.04799509048461914,20.835464417354675,19.70231773703762,0.6875,2.625,-0.625,395,395.0,-395.8738239297388,
881,44.71379113197327,0.048995256423950195,20.41013912341059,19.703093334218035,0.25,2.4375,-0.1875,418,418.0,469.4331998384436,
882,44.76078653335571,0.04699540138244629,21.278677712784038,19.70474757727356,-0.0625,2.6875,-0.1875,400,400.0,-383.01619883011267,
883,44.809781551361084,0.048995018005371094,20.410238442822383,19.705518961030933,0.375,2.8125,-0.25,461,461.0,1245.0245450121654,
884,44.858776569366455,0.048995018005371094,20.410238442822383,19.70628865976861,0.125,2.875,-0.125,437,437.0,-489.84572262773725,
885,44.906771659851074,0.04799509048461914,20.835464417354675,19.7074954909581,0.0625,2.8125,0.0,418,418.0,-395.8738239297388,
886,44.95476698875427,0.04799532890319824,20.835360916411254,19.708699640721942,0.0625,2.875,0.0625,433,433.0,312.5304137461688,
887,45.00276231765747,0.04799532890319824,20.835360916411254,19.709901222040607,-0.1875,2.75,0.1875,409,409.0,-500.04866199387004,
888,45.052757263183594,0.04999494552612305,20.002021993953093,19.710225387817932,0.0,2.75,0.1875,372,372.0,-740.0748137762645,
889,45.106751918792725,0.05399465560913086,18.52035148143242,19.70880105932917,-0.1875,2.3125,0.3125,390,390.0,333.36632666578356,
890,45.15874671936035,0.05199480056762695,19.232692290056033,19.708252878028638,-0.5,2.25,0.375,414,414.0,461.5846149613448,
891,45.2107412815094,0.05199456214904785,19.2327804806471,19.70770606153293,-0.4375,1.8125,0.375,353,353.0,-1173.199609319473,
892,45.257736682891846,0.04699540138244629,21.278677712784038,19.709337350428978,-0.125,1.875,0.375,357,357.0,85.11471085113615,
893,45.30473184585571,0.04699516296386719,21.278785665002637,19.710965358725282,-0.25,1.625,0.1875,362,362.0,106.39392832501319,
894,45.349727630615234,0.044995784759521484,22.224304017464473,19.713459081427157,-0.125,1.625,0.3125,292,292.0,-1555.701281222513,
895,45.3967227935791,0.04699516296386719,21.278785665002637,19.715079523903178,-0.375,1.125,0.3125,264,264.0,-595.8059986200739,
896,45.44571781158447,0.048995018005371094,20.410238442822383,19.715828974575082,-0.3125,1.1875,0.3125,287,287.0,469.43548418491486,
897,45.49271321296692,0.04699540138244629,21.278677712784038,19.717443446400676,-0.4375,1.0,0.5,245,245.0,-893.7044639369295,
898,45.54170823097229,0.048995018005371094,20.410238442822383,19.71818877424722,-0.5,0.875,0.125,226,226.0,-387.7945304136253,
899,45.587703704833984,0.045995473861694336,21.741269652030127,19.720229951057455,-0.3125,0.9375,0.4375,160,160.0,-1434.9237970339884,
900,45.679694414138794,0.042995452880859375,23.258273445124654,19.702408510890383,-0.375,0.3125,0.375,179,179.0,441.90719545736846,
901,45.724689960479736,0.04499554634094238,22.224421777718902,19.704890307156646,-0.1875,-0.125,0.1875,118,118.0,-1355.689728440853,
902,45.772685050964355,0.04799509048461914,20.835464417354675,19.70607577413675,0.0625,-0.3125,0.0,137,137.0,395.8738239297388,
903,45.82068061828613,0.047995567321777344,20.835257416496116,19.707258552585323,0.0625,-0.4375,0.0,95,95.0,-875.0808114928368,
904,45.86867570877075,0.04799509048461914,20.835464417354675,19.70843906067125,0.0,-0.75,-0.0625,100,100.0,104.17732208677337,
905,45.91467094421387,0.045995235443115234,21.741382348977286,19.710475571077733,0.3125,-1.375,0.0,128,128.0,608.758705771364,
906,45.9706654548645,0.055994510650634766,17.858893459026305,19.708220253838622,0.0,-2.0,0.125,109,109.0,-339.3189757214998,
907,46.020660638809204,0.04999518394470215,20.001926607692123,19.70853932581592,0.125,-2.75,0.0,95,95.0,-280.0269725076897,
908,46.06765580177307,0.04699516296386719,21.278785665002637,19.710141186846595,0.125,-3.5,-0.0625,118,118.0,489.4120702950607,
909,46.1196506023407,0.05199480056762695,19.232692290056033,19.709602916069485,0.125,-4.3125,-0.125,62,62.0,-1077.0307682431378,
910,46.16764569282532,0.04799509048461914,20.835464417354675,19.710773342323986,0.1875,-5.3125,0.0,62,62.0,0.0,
911,46.220640420913696,0.052994728088378906,18.869801508035057,19.70980911782856,0.375,-5.9375,0.0625,100,100.0,717.0524573053322,
912,46.31063151359558,0.04399561882019043,22.7295359587278,19.693102214169997,0.3125,-7.125,0.0,132,132.0,727.3451506792896,
913,46.355626821517944,0.04499530792236328,22.224539539221297,19.695559365755184,0.125,-7.4375,-0.0625,123,123.0,-200.02085585299167,
914,46.40562176704407,0.04999494552612305,20.002021993953093,19.695889532269913,0.25,-7.4375,-0.1875,90,90.0,-660.0667258004521,
915,46.45161724090576,0.045995473861694336,21.741269652030127,19.69791482726336,0.4375,-7.4375,-0.125,109,109.0,413.0841233885724,
916,46.49861264228821,0.04699540138244629,21.278677712784038,19.699512478936693,0.625,-6.8125,-0.1875,179,179.0,1489.5074398948827,
917,46.54760766029358,0.048995018005371094,20.410238442822383,19.700260573911876,0.5,-6.5,-0.375,175,175.0,-81.64095377128953,
918,46.59660291671753,0.048995256423950195,20.41013912341059,19.701006994882192,0.6875,-5.9375,-0.1875,203,203.0,571.4838954554966,
919,46.6435980796814,0.04699516296386719,21.278785665002637,19.702596665678954,0.6875,-5.9375,-0.4375,221,221.0,383.0181419700475,
